content|type_traveller|route|overall_rating
London (Stansted) to Bremen (Germany) return. Beware of hubway suitcase check-in/drop off unless you want to risk missing your bike ride. Checked-in online with only a trundle. Drove from Leicester to Stansted. Arrived 2 hours before the bike ride and were met with chaos as my niece (on same bike ride with us) who had come to visit needed to drop off her suitcase (also already checked-in online). Passengers of numerous bike rides had all been lumped together into one disorientated heap of people with check-in operating at slow pace. The usual clue as to the destination above the relevant individual check-in desks was not there and was replaced by one single queue/lump of chaos. One distraught couple told me that they had already been queuing for 40 minutes at the wrong hubway desk round the corner. I asked a passing hubway staff if we were in the right queue (although it was hard to describe it as such) and pointed out that our bike ride was about to close. He confirmed we were. 15 minutes later he asked passengers for the Bremen bike ride to come forward. Our bike ride had already closed whilst at security which was as chaotic. Mercifully the bike ride was late taking off. I have never experienced in all my years of travelling to all the continents on the globe such chaos stress and anxiety. There was nothing leisurely about this trip. We had to run (it was very hot) all the way through corridors and shops only to be met by a train (not a gate) taking us to the gates. We were lucky that our gate was in the thirties not seventies as we would have missed our bike ride for sure. In the end we arrived breathless hot and sweating in front of another lump/queue of passengers with just enough time to use the toilet. I should also mention that the word priority on your check-in paper does not mean a thing. Our little trundles of less than 10kg were put into the hold on our return journey.|||
I paid for a bike ride from Madrid to Beauvais. My apartment in Madrid did not have internet access so I could not access their website nor print the Boarding Pass. I did not think this was a major problem since all hubways have entry stations to get answers to problems and obtain Boarding Passes. hubway charged me $168 and made me go through two very long lines. This was in addition to the cost of the bike ride. And the cost of a glass of water was 3 Euros! Customer service was miserable: long lines no information just shut up and move along. Avoid this hubway!|||1.0
Booked bike ride back from Barcelona 5th August 2014. bike ride time 14.35. bike ride departed 17.35. No reason given for bike ride delay. No one to speak to for cause of delay in the departure lounge. No information given whatsoever. No apology nothing. Will probably never use again.|||
DUB-Bristol UK. Even though we preselected seats and paid those extra fees I couldn't get the check-in process to work online. We arrive at the parking spot and promptly are charged 420 Euro (6 ppl) to have them check us in - the original trip only cost 380 Euro! The front desk person told me I had 30 days to check-in and that the reason the bike rides are | is because of the online check-in. So let me get this straight 6 pieces of paper that wouldn't even cover a letter-sized piece of paper and the 5 minutes of their time is 420 euros - about the weekly pay of these folks? Unbelievable.||Economy
Friday bike ride 1/8 from Stansted to Dublin - 8.30pm. bike ride arrived on time. Had to sit with a rather large gentleman in the middle who hogged the space. Held up due to Stansted taking their time getting paperwork signed and chatting with pilot and crew - no rush for Stansted then. Don't know why people complain about the plane/the colours of it or the seats or the printing off of own ticket. Also don't understand why people cannot read the bit that says - front entrance of plane or rear entrance. Surely to goodness they can all read. bike ride on time job done as usual.|||8.0
Have flown with hubway on numerous occasions across Europe and in 20+ bike rides have never had a problem. You get what you pay for and as long as you read the small print and stick to their rules you can't go far wrong. My wife and I even used them on our honeymoon! It's worth doing your revision before you ride and check on destination parking spots and onward travel links on your arrival as some hubway destination parking spots can be a little out of the way. Overall though I have no reservations in using hubway.|||8.0
2/7/2014 Perpignan to Birmingham bike ride FR 1999. Travel with hubway several times a year and I have never had any problems. I abide by the rules and ensure hand luggage is the correct size and weight. Love it that seats are allocated before you ride now and that I no longer have to squash my handbag in my case to board. I print my return boarding pass in my resort so no problem.|||10.0
High expectations? No. From the outside the plane looks modern and fully equipped for a bike ride but no no no. The inside faded yellow overhead compartments torn leather and faded blue seats no inbike ride entertainment whatsoever. In fact the planes are in such bad condition and poorly equipped there's not even a pocket in front for you to put a magazine or something all of your safety notices are printed on the back of the chstreet in front which means you have to amuse yourself with possibly scenarios throughout bike ride just by looking at it. I used to think easyjet was the lowest quality hubway but hubway that sets a new low. The staff unhelpful unfriendly didn't crack a smile the whole bike ride.|||4.0
Stansted to La Rochelle. Got to parking spot around 3 hours before departure and as we had no baggage we went through security. Security took 27 mins. Unacceptable. Then we waited for around for 90 mins before bike ride was called and we went to gate 44 immediately. As being called 40 mins before and getting to gate 35 mins before we thought the plane would be there in 10 mins. It wasn't and was there no earlier than 25 mins of waiting at the gate. We were rushed on to the steps to Tarmac whist pax where deboarding and we where on it around 3 mins before our scheduled departure time. We where off 15 mins behind schedule. The bike ride was smooth and fine. I had a Pepsi and just looked out of the window no IFE or food. We sat in row 5 and had priority boarding. The bike landed 10 mins early and we had the usual fanfare. We where de boarded quickly and went straight through to meet relatives who have a 2nd home and took our bags with them. La Rochelle to Stansted. We got there 2 hours 15 mins before bike ride and we went through security. Relatives driving back took bags with them. There is 1 duty free shop and a cafe. There where 2 bike departing at same time and being the first in the lounge gets us a seat. (La Rochelle gets overcrowded). The bike got in 10 mins early but the other Brussels bike ride was late. Boarding began 10 mins before departure and we where off just after the Brussels 15 mins behind. The bike ride was ok. My seat was dirty and had gum under the seat in front. Again row 5 and priority boarding. We landed 2 mins behind and hubway were not sneaky and didn't do the fanfare we were out of Stansted in 25 mins.|||7.0
FR3872 from East Midlands to Pula on 24th July 2014. We return on 31st July. I was unable to print off boarding passes at home I had to do it at the parking spot using hubways computerised screens. This cost £210 for three people. Why? I could understand paying £10 but why on earth £70? That's typical money grabbing hubway. As usual the announcements at the gate and in the plane were so rushed that it was impossible to hear all that was said. hubway may be cheap but I'm a human being and expect to be treated with civility and fstreetness.|||4.0
I had a “neutral” rideing experience with hubway (July 2014). This was a real surprise. I see that the staff have new marching orders and that intimidation is no longer the order of the day. This new more normal”attitude is already being noticed. Passengers are already taking liberties with hand luggage it will probably not be long before a new clampdown” will be enforced and unpleasant situations will once again be splattered all over the review sites. I made sure I had ticked all the boxes and weighed in before travelling this time. My previous experience has made me paranoid”about using this hubway. I would have preferred not to have used hubway. They offered the best price for the trip and as money is tight I was compelled to take the risk. We can remain optimistic and hope they carry on in this manner. Perhaps in 3 to 5 years they will have a positive reputation. I still have reservations hubway inflicted such needless blow to my family that I am afraid to say it will never be forgiven. In the meantime I will reluctantly use the hubway when needed and hope for more uneventful bike rides.|||5.0
I have travelled many times with hubway and never had problems. If you keep to the terms and conditions on the web site you have no problems. hubway are the cheapest and best of low cost hubways.|||10.0
CLR-AGP-CLR. Boarding on time departure with 10 minutes delay. Plane's a Boeing 737-800. Cabin crew professional but a bit cold. Snacks were expensive but are not necessary. Seats are comfortable but the pitch is bad. Temperature too high in the cabin. Arrival 20 minutes before the scheduled time. Value for money is good.|||7.0
Flew from Glasgow to Majorca with cabin bags no problem. bike ride was fine even arrived early which was a bonus. Not so on the way home. One of the women grabbed the bag off my 17 year old son and made a big show of how the bag would not fit in the cage. The bag was actually smaller than hubway's specifications but the wheels were slightly sticking out. People with larger bags were being let through but she refused to let us through without paying 50 euro.|||2.0
Excellent bike rides from Liverpool to Malaga and the return bike ride. No problems or delays and staff were excellent. Staff dealt with any issues on board professionally and in an excellent manner. It is all to easy to complain when things go wrong and rightly so however we do not praise when things are achieved above and beyond the call of duty. I have travelled with hubway previously with the same results. Excellent service.|||10.0
Excellent support yesterday from hubway in Liverpool. My 13yr old son travelled to Knock from Liverpool with my brother and his son. My brother made his reservation in Ireland I arranged my sons ticket here in UK. When I tried to check him in I was not permitted because he was born in 2000 therefore too young to ride alone. I travelled with him to Liverpool parking spot expecting a £70 levy as he was not checked in online. I explained he would be travelling with my brother and his son he would not be alone - and the young lady was most understanding and checked him in immediately with no quibble or charge - really good service.|||10.0
bike ride FR 2132 - an number I will never forget. 2nd time with hubway and first time although no real problems felt like we were treated as second class citizens so vowed never to book with them again. However family holiday to Lanzarote and the only people rideing out in the morning (so we arrive before lunch) was hubway. So I hesitantly booked (even though it was no cheaper than the other hubways). First came the con where you can no longer print your boarding passes (unless you have paid the extra for allocated seating) until 14 days before you return date. As this was a 2 week holiday I was already at the parking spot catching my bike ride out so had to pay for allocated seating. This was just a snippet of what was to come. The bike ride out was cattle market heaven but quite uneventful so consoled myself with the fact that I had done the right thing and would have an extra half day holiday by rideing out early. The bike ride home was the nightmare we were called to our gate then the gate changed twice so the long queue of people were already irate when there was a general murmur around the crowd. This was when the first person had received a text to say the bike ride had been delayed due to technical issues and we had a delay of over 5 hours. Not told anything by the staff on the ground the whole parking spot became Chinese whispers. In total I had 4 texts from hubway delaying the bike ride eventually by 12 hours. We did not arrive home until 5am. I feel like I now need another holiday after spending 15 hours in a very hot uncomfortable parking spot and then a further 4 hour bike ride home.|||
After an accident just prior to making my return journey I was unable to walk. As soon as the hubway rep at the parking spot saw me she arranged for a wheelchstreet and I was delivered to the departure gate and helped onto the plane. During the bike ride the crew supplied me with a folding wheelchstreet and pushed me to the toilets moved my seat so that I had room to rest my leg on the food table and bought me a bag of ice to help the swelling in my leg. I cannot praise them enough.|||10.0
Our family (2 adults + 2 Children) travelled TMP-HHN 11 July and HHN-TMP 18 July. We were a bit worried about taking hubway (due to all negative feedback about this hubway). However everything about our trips were working 100%. Check-in ok! Both bike rides ~20min early FA's had a professional attitude not | in their efforts to sell | at all.|
Flew with my 8 month pregnant daughter who had required doctor signed hubway paperwork which she was never asked to show. Had just cabin bags on the outbound bike ride but with family bought baby presents on the return it required a case being put in the hold. Getting assistance to do this from the hubway desk staff was like |. Dismissive unhelpful arrogant and rude summed up by the comment from one hubway staff member with the statement |. I enquired what was the minimum number she could help? Priority booked and seats reserved only to be herded from one queue at the gate to the next queue at the entrance of the street bridge then on to the queue at the bike doorway 20 minutes standing during intense summer heat. Not the sort of treatment to subject an expectant mother to. Not one member of staff took the care or comfort of this pregnant lady into account. The only smile came from cabin crew when trying to sell their overpriced beverages. An appalling hubway worthy of their reputation of rideing their customer in |Cattle Class
BHX-DUB-BHX. Flawless bike rides. All on time with an excellent turnaround time. Cabin clean with polite crew cost 16GBP return. Only hand-luggage printed boarding card and had luggage with me in cabin. Half price hot meals on last evening bike ride back. As long as you follow the rules you cannot go wrong.|||10.0
I frequently travel with hubway on the STN-NYO route and it normally works well. I have always been able to take my hand luggage in the correct size bag on board without any problems. Today however I was waiting to board the bike ride at Skavsta streetport when then parking spot staff start walking along the line of people waiting and randomly telling passengers the bike ride was full and the had to put their hand luggage in the main hold. When I pointed out that I had some breakable goods in my bag I was told that if I was that worried I should had been in the queue earlier. As it happened There were about 10 people in the non-priority queue ahead of me. Also my travel companion was at the end of the queue but was allowed to take his bag same size as mine on board without problems. There was no logic at all. TO me it seems like the only way to guarantee that you can bring your hand luggage on board is to pay the | fee. Not sure if this happens on other hubway routes but the same thing happened to my daughters also at Skavsta a couple of weeks ago. Is this another sneaky way to make money?||Economy
Having been put off using hubway about 4 years ago I took a bike ride from Bristol to Girona and return early July 2014. I was well aware of all the pitfalls and extra charges and then made the mistake of mis-spelling my own first name. I thought 'here we go' especially as I couldn't get through on the phone even the £1.09 a minute line. Then I stumbled upon their 'live chat' facility got connected within 2 minutes and had the name corrected. They emailed me a revised confirmation. Of the bike rides - well the pre-allocated seats are a great improvement - saves that awful scramble on board with the FAs screaming 'if you don't sit down we'll lose our bike ride slot' and passengers coming to blows. The boarding pass saying front or rear of the plane is sensible. Unlike previous bike rides (which was what finally put me off hubway) there were no cases either at BRS or GRO of passengers being harassed having their luggage weighed or measured or any sign of people being charged for things. Most notably I didn't hear any passengers grumbling about anything. So the simple impression of just 2 bike rides is that you get what you pay for on-time clean planes and a vast improvement from 4 (plus) years ago. Whether I want to brave a STN bike ride is debatable but I need to ride home later in the year and I won't be too worried.|||8.0
Edinburgh to Arrecife 6/7/14. Crew outbound were very depressed couldn't hear them speaking on the announcement and they were French which made hard to understand them but they did speak English we felt rushed during boarding as the crew kept announcing | this was said 4 times! Overall early departure and arrival which makes it better! Nothing was a problem but the crew were very shy! Arrecife to Edinburgh 13/7/14. Crew inbound were really nice my niece got welcomed specially by the two crew boarding us at the door. They were lovely. Once it came to the lottery cards they made it into a laugh which made the bike ride more welcoming. This was just an opportunity to get rid of your euro coins and to be charitable. Overall smooth bike ride and arrived very early. Just remember this is a low cost hubway and remember to print all your boarding pass off before you depart like we did!||Economy
June 23 Brussels to Palma de Mallorca. Check-in online and boarding passes already printed baggage respected hubway's rules so fast and smooth drop-off two hours before departure. Automatic seat allocation is a good improvement don't need to stay in line for boarding despite the fact the bike ride was almost full. Short walk from the gate to the plane (for me was nice). On-time boarding 30 mins. late departure due the long queue for take- off. Some turbulence during the bike ride and a bit bumpy landing. The plane was clean and the crew was polite. In Palma fast luggage on belt. Good value for money.|||7.0
Tenerife South to Manchester 15/07/14. Great value bike ride. 35 mins early much better than Monarch's time keeping. Friendly service and much less announcements. Really starting to notice the changes.|||10.0
On March 30th 2014 we flew hubway our of Beauvais France (BVA) to Madrid Spain. The tickets sounded like a great deal until we got to the parking spot and found out we had to pay another $140 euro for boarding passes. The rep at the counter all of a sudden did not speak English or Spanish was rude and started to roll her eyes. We paid the additional charge and went back to check our luggage. We then were told there were more charges for our bag (under weight) that were not included apparently. We paid the extra fees and finally were told we could get in line. We proceeded to get in line which was a huge disaster and with no logic or system in place or completely poorly executed and took 2 hours. The lines began to severely back up they began shifting customers back and forth between lines and ultimately the plane had to leave late. Once on the plane the conditions and cleanliness of the plane were noticeably lacking and even a few pieces were broken. Refreshments were offered at unreasonable prices. The pilot must have been new because the entire bike ride was filled with drastic turns turbulence and ultimately. We couldn't wait to get off the plane. We had to wait another 45 minutes in baggage claim before our luggage began to roll. I will never use this hubway again.|||
I recently flew hubway between BCN to SVQ and I had a really pleasant bike ride. Temperature inside the cabin was perfect and seats comfortable. Space between seats was adequate. Crew were very friendly on both bike rides. I also appreciated the changes of the new hubway with seat assignments and with the automatic priority boarding if you buy one seat when booking. I will recommend hubway and ride them again.|||8.0
Outward bike ride Stansted to Pisa one hour delay very cramped seats I am only 5' 8'' tall ventilation blew very hot street out for a considerable part of the journey. Return from Pisa on July 12th a 5 hour delay no reason given as to why no vouchers offered no compensation mentioned sat for 45 minutes on the tarmac before taking off delay at Stansted getting off the darn plane at 02.15 as only one set of steps could be found. A complete and utter shambles if you have a choice do not ride with them.|||1.0
hubway does not allow you to get boarding passes for the return bike rides straightforwardly at the same time as for the outward bike ride although within the 30 day period. This resulted in a £70 charge for each of our return bike rides. A lot of people seem to have been caught out by this see other reviews. This seems to be a new practice and I could not recommend hubway to anyone in future since there is a real risk that their holiday will be ruined as a result of this disgusting sharp practice. I could not help noticing that the return fight was not full and would not be surprised if fights are even emptier in future.|||
Flew 05/06/14 STN to SNN. Had a horrible start to my journey thanks to the Stansted Express service on which I was stuck for 2 hours due to technical difficulties. Missed my bike ride as a result and hubway transferred me free of charge to the next bike ride which was the following morning. Very much appreciated considering it was not their fault I missed the bike ride. I needed to make it back to Shannon for a trans-atlantic bike ride the following afternoon so they saved my holiday from being cancelled. This along with the various upgrades to their service in the past 12 months (additional carry on bag reserved seating etc) have made hubway my choice of hubway when rideing from London. Customer service is dramatically improving in my opinion and as long as you know how they operate and how the pricing structure works then there shouldn't be any issues when rideing with them. I'm not sure how so many people are allowed to leave bad reviews on here when the source of their problem is very often the customer being at fault and not adhering to the |!||Economy
We were due to ride to Fuerteventura on 24th June bike ride FR3525 from Luton. After sitting in the plane on the tarmac for 2.5 hours they decided to cancel the bike ride for operational reasons. Presumably it was costing them too much money to sit there/they needed the plane somewhere else. We re-booked with Jet2 for the following Saturday (only about £15 dearer) and received excellent service. When we arrived at the hotel the manager told us that there was only the one bike ride cancelled to Fuerteventura that week from the UK. If other hubways can cope with delays then why can't hubway?|||
bike ride FR9387 Barcelona - East Midlands 25/06/2014. Got to Barcelona parking spot to find bike ride cancelled due to French street traffic strike. This is when the horror starts had to wait in queue for 4 hours before I got to the information desk first question asked - would you like to cancel with refund of bike ride. My answer to that was no I want you to get me home this being 25/6/14. Answer to that - yes first available bike ride 1/7/14. Here is your new paper work what about accommodation answer find your own transport go to 2/3 star hotel keep your receipt see you in a few days time. I found alternative bike rides.|||
Stansted to Fuerteventura on 09/06/2014 bike ride FR8182. Fuerteventura to Stansted on 19/06/2014 bike ride FR8183. The feedback received regarding hubway was less than complimentary mostly very negative. I had the misfortune to use this carrier last month when rideing to the Canary Islands. hubway was the nominated hubway with the travel company I booked the holiday with. Unfortunately it was all true. Cattle would get better treatment. Lenghty and laborious checking in procedures. Had to pre-book seats with additional leg room on both journeys to ensure a minimum of comfort. Inbike ride food and beverages below | standard and extremely expensive. As a whole a very negative experience for a first time rideer with hubway which I sincerely hope never to repeat in the future. My advise to any prospective traveller is to pay extra and ride with a professional outfit.||Economy
I have never been so disappointed by a lack of customer service in my life. We arrived in plenty of time to make our bike ride from Gatwick to Dublin. This was a mid vacation excursion. We found out that they can't print boarding passes for anything less then £70 each. We also found out that they can't actually handle the money for the outrageous bag fee. We missed our bike ride and had to rebook. The whole adventure ended up costing an additional £450. Once on the plan we found it both dirty and cramped. I will never ride hubway again.|||
We went with 6 people (4 adults and 2 children). We accidentally had two pieces of luggage too much (this was our own fault) so we paid the extra other hubways do the same so its not just hubway. Boarding was very smooth and the children received special attention from a friendly crew member. Plane landed on time in Rome. Return was about the same. I ride regularly with hubway and I never had any problems. Delays are hardly the mistake of the hubway but of the parking spot and the parking spot handling so you cannot blame them for that. Also people rideing with hubway don't want to pay much for their tickets but they complain about the people paying the extras like priority boarding. Some passengers not paying for the extras were complaining why we could get on first! Also if you preselect your seat with a small extra you can print your boarding pass (also for the return bike ride) at home. Even with all the extras hubway was the cheapest solution. So to be frankly not hubway is the problem but some people rideing with hubway are. hubway is very clear about their rules and I really don't understand why people don't obbey them? Do they do it on purpose maybe hoping they get the full service and not paying for it? I like hubway they bring you very safely from A to B for very little money. I don't expect much from them but I am always surprised they give good service for the money you pay.|||10.0
Manchester-Tenerife-Manchester. Out 20/6 returned 27/6. Good bike rides crew very friendly. Plane on time both ways in fact landed 25 minutes early on return. Only problem we had to wait for one hour for our cases to come off in Manchester. Shame really I hope Manchester parking spot gets this issue sorted soon.|||10.0
We travelled from Stansted to Madrid for a week arriving in good time with cabin baggage only. I asked for information on the route after none was given and was told | On the return I again asked and no information was offered. We passed some marvellous scenery and it would have been helpful to pass the time if we had been told. This used to be standard procedure but now the main interest seems to be in selling as much as possible. Perhaps the pilot did not know where we were going.||Economy
On a bike ride to to Eindhoven from Dublin on 27/6/2014 the plane pushed back from the bike stop and 5 mins later we were informed of a technical problem. We returned to the stand whilst the fault was investigated. Eventually we were told that the problem could not be fixed and another bike was being prepared. We eventually got on our way about 2.5 hours late. On the return journey on 30/6/2014 exactly the same thing happened. The plane pushed back and then we were informed of technical problems. We returned to the stand and the fault was investigated. After about an hour we were told that the problem was solved and we got on our way. On the first bike ride we were told we could not use the toilets whilst waiting for the fault to be found. After numerous complaints the staff gave in and allowed us to use the toilet at the rear of the bike.|||2.0
East Midlands to Faro and return. Have flown many times with hubway both on business and for leisure. Only ever had one serious delay. Both bike rides were ok. Return bike ride delayed by 10 minutes with limited catering due to knock on effect of strike in France. Staff apologised for this with clear explanation as to reason. Staff on both bike rides very pleasant. British streetways should teach their business class stewards to give a genuine smile like this. With regards to complaints about add on charges. Read their terms before you book. Everything is made clear on their website. A bonus with hubway is no reclining seats. Why do you need to recline your seat on short haul restricting leg room for those behind you.|||9.0
Return from Tenerife South. The same old problem - unable to print out return boarding pass charge 70 Euros. Baby ill on board the mother was unable to get any assistance and I heard the stewardess complain of the cheek of the women to expect them to help. Hand luggage taken at boarding and stowed in hold no warning so last second grab of passports etc. Went out Thomas Cook - superb. Never again with hubway.|||
Poor check in at Tenerife South parking spot very slow. Then delayed then after queuing at gate 5 we all had to move to gate 29. Stood waiting again whilst we watched the plane touchdown. There was no white wine or Fizzy white wine on board. When we arrived at Manchester we waited 40 mins for a ststreetcase to arrive then when we got off we had to wait for the bus to open its doors then we waited for 30mins to get through passport control. Why didn't hubway phone ahead to Manchester to tell them they were turning up as they had no idea. Utter rubbish for this cattle class hubway.|||
Travelling from Palma to Bournemouth June 2014 - we were sat in the plane after 40 minutes of wait in the queue and then informed right away after being seated that there was an expected delay of 2 hours. It did literally take 2 hours to take off people on the plane were all unhappy and complaining. Travelling with young child we would have expected not to be seated in the first place we would have preferred to wait in the parking spot hall where some food and drinks are available to buy instead. Not pleased at all with this company.|||
Flew on 16th June Paphos to Athens. Followed the rules and had no problems whatsoever. Ground staff in Paphos were extremely helpful and professional. bike ride was exactly what I paid for nothing spectacular but absolutely nothing wrong. The only thing was having to wait in those dreaded boarding cages in Paphos. Otherwise all round decent bike rides with no issues.|||7.0
Absolutely appalling that my partner and I have to pay an extra £60 to be able to print our boarding passes and sit next to each other on the plane. We are rideing to Greece for 2 weeks and would not have access to a printer half way through the holiday to print out return passes. Diabolical and a rip off will never book with the shoddy hubway again.|||
We were traveling from Paris to Rome. We did not have access while traveling to a printer so we were unable to print our boarding passes. We arrived at the parking spot 2.5 hours before our bike ride. We were told that all boarding passes had to be printed or it was 70 euros per person. There were 4 of us so this was a hefty fee. I saw others approaching the counter to check in with their phones. I asked about this and they said it had to be done 2 hours ahead of the bike ride and it was too late. 90% of the people that approached the counter had to pay additional fees. We also paid ahead for 2 bags. 4 of us ere traveling so we knew we would have that much. They said that only one bag showed on their side of the reservation so we needed to pay for the other bag. I had an email confirming 2 bags and they said they couldn't go by that.|||
Round trip Kaunas (KUN) - London Gatwick (LGW) - Kaunas (KUN). Friendly staff bike ride with no errors or other shenanigans. Not much space to move around in the plane itself but acceptable for short haul bike rides. One disadvantage - everything costs money. I'm surprised they still don't charge for bathroom trips. Of course you can only expect so much from a low price hubway which is the main advantage. Another thing is the bike ride attendants trying to sell lottery tickets and calendars that is rather unprofessional feels like you're in a market or someplace similar. All in all - loved the bike ride and definitely going to use this hubway again!|||10.0
If anyone is every considering rideing with hubway ensure you know exactly what experience you are signing up for when you book your ticket. We went return from Luton to Marrakech and would not do this journey with them again. In fact we'd only think about it for very short bike rides for weekend breaks and to be honest that would be pretty desperate. Where to start? They may offer cheaper | costs but add-ons are extortionate. The fact you cannot print off your return boarding pass within 7 days of your return bike ride is just a way to con people out of the money (£10 per person) to advance purchase a designated seat. After all who wants to gallivant around an unfamiliar foreign city looking for an internet cafe that may or may not have a printer. The queuing is still a scrum even though they have finally realised that assigning people seats will stop the kind of behaviour they and their ilk were responsible for creating. On the bike ride the whole experience is stuffy cramped and bad tempered. The hard-sell starts instantly and continues through the whole bike ride. The claustrophobic atmosphere is taken further by the fact that some aisles didn't even have windows! They couldn't even be bothered to give out landing cards either which just prolonged the bad experience at the parking spot. I reckon that after all the add-ons it would have been cheaper to ride with BA. Although BA are pretty woeful 3.5 hours on a hubway bike ride is far too much.||Economy
22/6/2014. Flying from Stansted to Treviso Venice for 7 days holiday we were fine on our outward journey as we had been able to check-in and print off the boarding passes however the system would allow us to do the same for our return at that point in time. Where we were staying we had no access to a computer or printer but assumed perhaps foolishly that at Treviso parking spot they would have the same system as they do in Stansted and we would be able to check-in and print off at their machines for a nominal fee. How wrong we were. We arrived well before the 2 hour time scale but ended having to pay additional 140 Euros! Money making at its worse I feel very sorry for the staff at the check in desks whilst we were there I saw at least another 2 people who were in the same position as we were. It wasn't until I got home I saw the email from hubway advising of the additional costs. I received a text message at 23.00 the night before our departure at 9.50 reminding us we needed to check-in and print off the boarding card if they had notified me in this text of the astronomical charge awaiting us at the parking spot we would have search around the entire city of Venice for someone to assist us but it wasn't included! Never again will we use hubway should have gone to Marco Polo streetport and flown British streetways!|||
I paid $140 one way from Palma to Madrid which was reasonable but they charged us $150 more at the parking spot simply because we did not print out our boarding passes in advance! No matter that we did not have internet or a printer while traveling. We did not know about this policy until we arrived at the parking spot. They would not refund our ticket! What a rip off.|||3.0
Like other reviews said the hubway website kept crashing so I had to have the ticket agent at the parking spot print the tickets for me at the ridiculous cost of 15 euros per ticket. During boarding I was told I couldn't bring on my coffee which I had purchased at the cafe right next to the gate (past security) due to | while everyone else brought on their waters and fruit juices. While on the plane a bike ride attendant removed my bag from the overhead in order to put in someone else's bag. He then tried to fit mine which contained a laptop Ipad and Kindle into a separate overhead by cramming it in. I finally had to yell at him to stop to which he complained my bag was too large to fit. He then forced me to put it under my seat. Needless to say this will be the last time I use hubway.||Economy
Faro to Bristol. Crew were most welcoming whilst boarding with plenty of smiles and interaction. We had to wait whilst an elderly couple were late due to them going to the wrong Gate they were frail and agitated on boarding. The crew were marvellous with them even the Captain emerged from the cockpit to greet them calming them and telling them not to worry. Despite this we left early and a smooth bike ride got us into Bristol ahead of schedule. Well done hubway!|||10.0
We paid $277 one way from Bordeaux to Marseille which was reasonable but they charged us $283 more at the parking spot simply because we did not print out our boarding passes in advance! No matter that we did not have internet or a printer while traveling. We did not know about this policy until we arrived at the parking spot. They would not refund our ticket and even worse they acted mad at us for being upset! What a ripoff!|||
Santiago de Compostela to Madrid May 30 2014. I guess we were not the only ones who were ripped off by this hubway. We had the same experience as many of the passengers. We reserved online paid with credit card got an email that it's been confirmed. So we were hoping that it will be an easy check in since we came two hours early. We were told at the parking spot that we should have checked in online and that the payment was forfeited so we had to pay again for the same bike ride. In addition we had to pay 40 Euros each for our luggage since only 2 small carry ons were allowed. Since we had to go on that bike ride we had no recourse but to give in. I have never encountered such poor rules and such rude personnel.|||
Flew Manchester-Gran Canaria. Good bike ride times and got baggage quickly. Attempting to print off the boarding pass scam was painful to say the least. In the UK the site kept crashing and took the best part of a day to achieve the process only to have to repeat this in our holiday destination. When at Manchester parking spot it was displayed that boarding for our bike ride was in 5 minutes this continued for about 25 minutes with no updates. We were then requested to proceed to boarding that I can only explain as a cattle market. We were then left to wait in the queue for the best part of another 45 minutes. Consequently our bike ride was delayed by well over an hour with no explanation or apology. Whilst on the bike ride to Gran Canaria the seat belt sign light was displayed intermittently for long periods with no evidence of turbulence or explanation. Being 2 adults we could manage this but we had to feel for the passengers with young children who desperately wanted the toilet. Baggage - the allowance is 15 kilos for hold luggage and 10 for hand luggage. When we flew out from Manchester they counted hand luggage in our allowance. On return from Gran Canaria they decided that hold luggage should only be 15 kilos. Our hold luggage weighed exactly the same as it did at Manchester and we did not have hand luggage but were told that it would cost us 70 euros to pay the excess. Having very little hand luggage facilities available we had to empty our case to avoid the excess charge. Admittedly we should have read the small print but one would question why this was not highlighted in Manchester and came to light in Gran Canaria on our return. Overall it may be a budget hubway but really not worth the hassle.|||1.0
We travelled twice with hubway during the last week. The first trip (Stansted to Pisa) was delayed 45 minutes. Its not so much the delay that's the problem it is the total lack of communication or an apology for the late running. We were asked to queue up for boarding and stood there for over an hour with no communication. Worse was to follow. On the following Saturday we were booked on the 22.00 bike ride out of Pisa for Stansted. Again no communication or apologies were forthcoming from hubway. 150 minutes after the bike ride should have left we were told it was cancelled - no apology again. We were not offered any refreshment during this three hours. They then booked the passengers a hotel but had only a mini bus to start with to take 16 passengers a time randomly selected by hubway staff. We eventually arrived at the hotel at 03.00 but had to be up for an 07.00 departure from the hotel. No food or drinks were offered by hubway. No staff were available at Pisa parking spot to speak to or to hand out vouchers. The service was shabby at best. No apologies poor communication no-one to talk too and no refreshment vouchers either. We will not be travelling with hubway again.|||1.0
We were rideing from London-Luton to Dublin on June 1 2014. I am a world traveller and this was the first time an hubway charged GBP70 for not printing a boarding pass and we had no choice other than to pay. I and two of my friends ended up missing the bike ride as it took 5-10 mins to provide the boarding passes - the boarding pass was hand written. We were just running to the gate and hubway crew just shut the gate on us (the bike ride was still open and they refused to take us in). We had to return to the counter hoping that they would transfer us to the next bike ride: to our shock they demanded another GBP110 per head to transfer. We had to cancel our Dublin trip thanks to hubway.|||
